path	relative_to	method	data_type	cohort	modality	source
analysis_result/single_context/MiGA_eQTL/export/summary/context_specific/MiGA_THA_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	MiGA	THA	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MiGA/eQTL/THA/LR/	AD_LOCI_ROOT	LR	eQTL	MiGA	THA	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MiGA/eQTL/THA/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	MiGA	THA	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Mic_12_Kellis_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Mic_12_Kellis	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Mic_13_Kellis_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Mic_13_Kellis	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Mic_DeJager_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Mic_DeJager	FunGen-xQTL release (Synapse syn68872650)
analysis_result/multi_gene/ROSMAP/export/summary/context_specific/ROSMAP_Mic_DeJager_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	multi_gene_finemapping	eQTL	ROSMAP	Mic_DeJager	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_DeJager/Mic/LR/	AD_LOCI_ROOT	LR	eQTL	ROSMAP	snuc_DeJager/Mic	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_DeJager/Mic/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	ROSMAP	snuc_DeJager/Mic	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_DeJager/Mic/interaction/APOE/	AD_LOCI_ROOT	APOE interaction	eQTL	ROSMAP	snuc_DeJager/Mic	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Mic_Kellis_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Mic_Kellis	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_Kellis/Ast/LR/	AD_LOCI_ROOT	LR	eQTL	ROSMAP	snuc_Kellis/Ast	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_Kellis/Mic/LR/	AD_LOCI_ROOT	LR	eQTL	ROSMAP	snuc_Kellis/Mic	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_Kellis/Ast/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	ROSMAP	snuc_Kellis/Ast	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_Kellis/Mic/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	ROSMAP	snuc_Kellis/Mic	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_Kellis/Ast/interaction/APOE/	AD_LOCI_ROOT	APOE interaction	eQTL	ROSMAP	snuc_Kellis/Ast	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_Kellis/Mic/interaction/APOE/	AD_LOCI_ROOT	APOE interaction	eQTL	ROSMAP	snuc_Kellis/Mic	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/ROSMAP_eQTL/export/summary/context_specific/Mic_mega_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	ROSMAP	Mic_mega	FunGen-xQTL release (Synapse syn68872650)
analysis_result/multi_gene/ROSMAP/export/summary/context_specific/ROSMAP_Mic_mega_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	multi_gene_finemapping	eQTL	ROSMAP	Mic_mega	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_mega/Mic/LR/	AD_LOCI_ROOT	LR	eQTL	ROSMAP	snuc_mega/Mic	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/ROSMAP/eQTL/snuc_mega/Mic/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	ROSMAP	snuc_mega/Mic	FunGen-xQTL release (Synapse syn68872650)
